,18-33,34-50,>50
1,90,80,11
2,1,24,10
3,8,34,21
4,26,23,0
5,82,44,7
6,17,50,9
7,157,129,14
8,67,47,8
9,186,131,16
10,25,24,1
11,3,8,3
